area,baths,beds,City,Zipcode,Price,Age
1210.0,2.0,2.0,Seattle,98122,673000,32
1880.0,2.0,4.0,Seattle,98122,1550000,39
1318.0,2.0,2.0,Seattle,98122,673000,41
1382.0,3.0,3.0,Seattle,98122,805000,35
3532.0,2.0,2.0,Seattle,98122,2100000,56
1910.0,3.0,4.0,Seattle,98122,1050000,46
1310.0,3.0,2.0,Seattle,98122,650500,53
1010.0,1.0,3.0,Seattle,98178,498000,48
600.0,1.0,1.0,Seatac,98188,217000,49
1690.0,2.0,4.0,Seatac,98188,680000,38
2200.0,1.0,4.0,Seattle,98146,500000,46
1090.0,1.0,2.0,Seattle,98108,450000,60
2000.0,2.0,5.0,Seattle,98168,595000,53
1750.0,1.0,1.0,Seattle,98166,655000,34
1370.0,3.0,2.0,Seattle,98188,480000,41
1740.0,1.0,3.0,Seattle,98106,776000,58
3020.0,2.0,3.0,Seattle,98106,860000,47
1200.0,2.0,2.0,Seattle,98168,405000,34
840.0,1.0,2.0,Seattle,98106,609000,41
3490.0,,,Seattle,98146,1035000,45
1420.0,2.0,3.0,Seattle,98178,755000,45
2460.0,2.0,3.0,Seattle,98108,965000,52
1610.0,2.0,3.0,Seattle,98108,834000,35
1696.0,2.0,5.0,Seattle,98188,520000,47
1040.0,2.0,3.0,Seattle,98168,589950,34
1220.0,2.0,3.0,Seatac,98188,540000,36
780.0,1.0,2.0,Seattle,98108,638000,46
1660.0,1.0,3.0,Seattle,98178,525000,51
0.0,,,Seattle,98106,215000,60
2490.0,2.5,5.0,Seattle,98178,525000,57
660.0,0.75,1.0,Seattle,98106,500000,30
2120.0,2.0,4.0,Seattle,98146,760000,43
1480.0,3.0,4.0,Seattle,98178,650000,60
1170.0,1.0,2.0,Seattle,98178,470000,45
2860.0,3.0,5.0,Seattle,98108,770000,50
2300.0,5.0,8.0,Seattle,98178,675000,45
2340.0,3.0,4.0,Seattle,98106,940000,33
2750.0,3.0,5.0,Seattle,98168,859950,40
1260.0,2.0,2.0,Seattle,98108,635000,59
1113.0,2.0,3.0,Seattle,98148,340000,33
780.0,1.0,2.0,Seattle,98168,330000,45
1670.0,1.5,3.0,Seattle,98168,347000,45
2550.0,,,Seattle,98108,1005000,55
754.0,1.0,1.0,Seattle,98134,275000,33
736.0,1.0,1.0,Seattle,98134,285000,54
1200.0,1.0,2.0,Seattle,98134,424700,30
1150.0,2.0,2.0,Seattle,98134,449000,55
1150.0,1.0,2.0,Seattle,98134,400000,44
754.0,1.0,1.0,Seattle,98134,289500,49
1071.0,2.0,2.0,Seattle,98134,365000,50
1028.0,2.0,2.0,Seattle,98134,475000,39
1028.0,2.0,2.0,Seattle,98134,475000,51
1285.0,1.0,3.0,Seattle,98134,448000,53
1285.0,1.0,3.0,Seattle,98134,476000,41
1200.0,1.0,2.0,Seattle,98134,400000,55
1150.0,1.0,2.0,Seattle,98134,430000,41
0.0,,,Seattle,98134,374000,33
1150.0,2.0,2.0,Seattle,98134,475000,34
2770.0,4.0,4.0,Seattle,98117,1750000,56
780.0,1.0,2.0,Seattle,98136,629000,32
1820.0,3.0,4.0,Seattle,98144,1190000,47
2855.0,4.0,4.0,Seattle,98126,1700000,34
1840.0,3.0,3.0,Seattle,98126,860000,36
3050.0,4.0,5.0,Seattle,98107,2500000,53
2240.0,2.0,3.0,Seattle,98117,1050000,37
678.0,1.0,1.0,Seattle,98107,395000,44
2860.0,4.0,3.0,Seattle,98126,1450000,37
2670.0,3.0,4.0,Seattle,98146,1781000,40
1470.0,2.0,3.0,Seattle,98146,861500,36
2296.0,2.0,3.0,Seattle,98146,1300000,42
1400.0,2.0,3.0,Seattle,98146,550000,30
2040.0,3.0,3.0,Seattle,98146,1400000,54
2300.0,3.0,4.0,Seattle,98146,885000,57
2110.0,2.0,4.0,Seattle,98146,970000,58
1020.0,2.0,2.0,Seattle,98146,595000,43
1068.0,1.5,2.0,Seattle,98146,329000,60
3560.0,2.0,5.0,Seattle,98146,1580000,60
1610.0,2.0,3.0,Seattle,98146,733000,58
1980.0,2.0,3.0,Seattle,98146,500000,46
720.0,1.0,2.0,Seattle,98146,380000,30
1800.0,2.0,2.0,Seattle,98146,1425000,33
1800.0,3.0,4.0,Seattle,98146,704000,59
2390.0,3.0,4.0,Seattle,98146,615000,56
820.0,1.0,2.0,Seattle,98146,420000,55
1446.0,3.0,3.0,Seattle,98146,659950,47
